name,Eventos,Valor Empenhado,Grupo
São João do Soter/MA,2,0.0,No earmark
São José de Ribamar/MA,1,0.0,No earmark
São Luís/MA,2,0.0,No earmark
São Luís Gonzaga do Maranhão/MA,1,0.0,No earmark
São Mateus do Maranhão/MA,1,0.0,No earmark
São Pedro da Água Branca/MA,1,0.0,No earmark
São Roberto/MA,2,0.0,No earmark
São Vicente Ferrer/MA,1,0.0,No earmark
Satubinha/MA,2,0.0,No earmark
Serrano do Maranhão/MA,1,0.0,No earmark
Timon/MA,1,0.0,No earmark
Trizidela do Vale/MA,2,0.0,No earmark
Tufilândia/MA,1,0.0,No earmark
Tuntum/MA,2,0.0,No earmark
Turilândia/MA,2,0.0,No earmark
Tutóia/MA,4,0.0,No earmark
Vargem Grande/MA,1,0.0,No earmark
Viana/MA,2,0.0,No earmark
Vitória do Mearim/MA,2,0.0,No earmark
Zé Doca/MA,1,0.0,No earmark
Aroazes/PI,1,0.0,No earmark
Barras/PI,2,0.0,No earmark
Barreiras do Piauí/PI,1,0.0,No earmark
Batalha/PI,2,0.0,No earmark
Campo Largo do Piauí/PI,1,0.0,No earmark
Caridade do Piauí/PI,1,0.0,No earmark
Currais/PI,1,0.0,No earmark
Domingos Mourão/PI,2,0.0,No earmark
Esperantina/PI,1,0.0,No earmark
Itainópolis/PI,1,0.0,No earmark
Luzilândia/PI,1,0.0,No earmark
Pedro II/PI,2,0.0,No earmark
Picos/PI,9,0.0,No earmark
Piripiri/PI,2,0.0,No earmark
Santa Cruz dos Milagres/PI,1,0.0,No earmark
São João da Varjota/PI,1,0.0,No earmark
São Luis do Piauí/PI,1,0.0,No earmark
Teresina/PI,1,0.0,No earmark
Uruçuí/PI,1,0.0,No earmark
Vera Mendes/PI,1,0.0,No earmark
Acopiara/CE,2,0.0,No earmark
Altaneira/CE,1,0.0,No earmark
Antonina do Norte/CE,1,0.0,No earmark
Aquiraz/CE,1,0.0,No earmark
Aracoiaba/CE,1,0.0,No earmark
Ararendá/CE,1,0.0,No earmark
Aratuba/CE,2,0.0,No earmark
Barreira/CE,1,0.0,No earmark
Capistrano/CE,3,0.0,No earmark
Cascavel/CE,1,0.0,No earmark
Caucaia/CE,2,0.0,No earmark
Crateús/CE,1,0.0,No earmark
